| Bytes | I/O¹ | Admin¹ | Disc¹ | Description |
|-------|------|--------|-------|-------------|
| 31    |      |        |       | Discovery Log Page Change Notification (DLPCN): If this bit is set to ‘1’, then the controller supports sending Discovery Log Page Change Notifications. If this bit is cleared to ‘0’, then the controller does not support the Discovery Log Page Change Notification events. |
| 30:28 |      |        |       | Reserved for future use by the corresponding bits in the Asynchronous Event Configuration feature Command Dword 11 (refer to Figure 409). |
| 27    |      |        |       | Zone Descriptor Changed Notices (ZDCN): If this bit is set to ‘1’, then the controller supports the Zone Descriptor Changed Notices event and the associated Changed Zone List log page (refer to the Zoned Namespace Command Set specification). If this bit is cleared to ‘0’, then the controller does not support the Zone Descriptor Changed Notices event nor the associated Changed Zone List log page. |
| 26:22 |      |        |       | Reserved for future use by the corresponding bits in the Asynchronous Event Configuration feature Command Dword 11 (refer to Figure 409). |
| 21    |      |        |       | Lost Host Communication Notices (LHCN): If this bit is set to ‘1’, then the controller supports the Lost Host Communication Notices event. If this bit is cleared to ‘0’, then the controller does not support the Lost Host Communication Notices event. |
| 20    |      |        |       | Cross-Controller Reset Completed Notices (CCRCN): If this bit is set to ‘1’, then the controller supports the Cross-Controller Reset Completed Notices event. If this bit is cleared to ‘0’, then the controller does not support the Cross-Controller Reset Completed Notices event. |
| 19    |      |        |       | Allocated Namespace Attribute Notices (ANSAN): If this bit is set to ‘1’, then the controller supports the Allocated Namespace Attribute Notices event and the associated Changed Allocated Namespace List log page. If this bit is cleared to ‘0’, then the controller does not support the Allocated Namespace Attribute Notices event nor the associated Changed Allocated Namespace List log page. |
| 18    |      |        |       | Reserved, used by the corresponding bits in the Asynchronous Event Configuration feature Command Dword 11 (refer to Figure 409). |
| 17    |      |        |       | Reachability Groups Change Notices Support (RGCSN): If this bit is set to ‘1’, then the controller supports the Reachability Groups Change Notices event, and the Reachability Association Change Notices event. If this bit is cleared to ‘0’, then the controller does not support the Reachability Groups Change Notices event, nor the Reachability Association Change Notices event. |
| 16    |      |        |       | Temperature Threshold Hysteresis Recovery (TTHR): If this bit is set to ‘1’, then the controller supports the Temperature Threshold Hysteresis Recovery event. If this bit is cleared to ‘0’, then the controller does not support the Temperature Threshold Hysteresis Recovery event. |
| 15    |      |        |       | No log page is associated with this event. |
| 14    |      |        |       | Normal NVM Subsystem Shutdown (NNSS): If this bit is set to ‘1’, then the controller supports the Normal NVM Subsystem Shutdown event. If this bit is cleared to ‘0’, then the controller does not support the Normal NVM Subsystem Shutdown event. |
| 13    |      |        |       | No log page is associated with this event. |
| 12    |      |        |       | Endurance Group Event Aggregate Log Page Change Notices (EGEAN): If this bit is set to ‘1’, then the controller supports the Endurance Group Event Aggregate Log Page Change Notices event. If this bit is cleared to ‘0’, then the controller does not support the Endurance Group Event Aggregate Log Page Change Notices event. |
| 11    |      |        |       | LBA Status Information Alert Notices (LSIAN): If this bit is set to ‘1’, then the controller supports the LBA Status Information Alert Notices event (refer to the NVM Express NVM Command Set Specification). If this bit is cleared to ‘0’, then the controller does not support the LBA Status Information Alert Notices event. |
