| Bytes | Description |
|-------|-------------|
| 209:208 | **Temperature Sensor 5 (TSEN5):** Contains the current temperature reported by temperature sensor 5. This field is defined by Figure 211. |
| 211:210 | **Temperature Sensor 6 (TSEN6):** Contains the current temperature reported by temperature sensor 6. This field is defined by Figure 211. |
| 213:212 | **Temperature Sensor 7 (TSEN7):** Contains the current temperature reported by temperature sensor 7. This field is defined by Figure 211. |
| 215:214 | **Temperature Sensor 8 (TSEN8):** Contains the current temperature reported by temperature sensor 8. This field is defined by Figure 211. |
| 219:216 | **Thermal Management Temperature 1 Transition Count (TMT1TC):** Contains the number of times the controller transitioned to lower power active power states or performed vendor specific thermal management actions while minimizing the impact on performance in order to attempt to reduce the Composite Temperature because of the host controlled thermal management feature (refer to section 8.1.18.5) (i.e., the Composite Temperature rose above the Thermal Management Temperature 1). This counter shall not wrap once the value FFFFFFFh is reached. A value of 0h, indicates that this transition has never occurred or this field is not implemented. |
| 223:220 | **Thermal Management Temperature 2 Transition Count (TMT2TC):** Contains the number of times the controller transitioned to lower power active power states or performed vendor specific thermal management actions regardless of the impact on performance (e.g., heavy throttling) in order to attempt to reduce the Composite Temperature because of the host controlled thermal management feature (refer to section 8.1.18.5) (i.e., the Composite Temperature rose above the Thermal Management Temperature 2). This counter shall not wrap once the value FFFFFFFh is reached. A value of 0h, indicates that this transition has never occurred or this field is not implemented. |
| 227:224 | **Total Time For Thermal Management Temperature 1 (TTTMT1):** Contains the number of seconds that the controller had transitioned to lower power active power states or performed vendor specific thermal management actions while minimizing the impact on performance in order to attempt to reduce the Composite Temperature because of the host controlled thermal management feature (refer to section 8.1.18.5). This counter shall not wrap once the value FFFFFFFh is reached. A value of 0h, indicates that this transition has never occurred or this field is not implemented. |
| 231:228 | **Total Time For Thermal Management Temperature 2 (TTTMT2):** Contains the number of seconds that the controller had transitioned to lower power active power states or performed vendor specific thermal management actions regardless of the impact on performance (e.g., heavy throttling) in order to attempt to reduce the Composite Temperature because of the host controlled thermal management feature (refer to section 8.1.18.5). This counter shall not wrap once the value FFFFFFFh is reached. A value of 0h, indicates that this transition has never occurred or this field is not implemented. |
| 239:232 | **Operational Lifetime Energy Consumed (OLEC):** This field contains the cumulative operational energy consumed by the NVM subsystem in watt-hours calculated from all interval power measurements (i.e., average of power measurement samples over one second, refer to section 8.1.19) collected from the time of manufacture to the point that this log page is read. This value is rounded up (e.g., two indicates the number of watt-hours consumed is greater than 1 and less than or equal to 2, three indicates the number of watt-hours consumed is greater than 2 and less than or equal to 3). This field shall not wrap once the value FFFFFFFF_FFFFFFFh is reached. A value of 0h in this field indicates that the cumulative operational energy consumed by the NVM subsystem is not reported. |
